name,n,ap,sigma,n_prod,bern_ok,flip_ok,rt_ok,ok,ms
1state1ap0acc_0.sos,2,-,1,1,1,1,1,1,1
1state1ap0acc_1.sos,3,a,2,4,1,1,1,1,1
1state1ap0acc_3.sos,2,-,1,2,1,1,1,1,1
1state1ap1acc_06.sos,3,a,2,4,1,1,1,1,1
1state1ap2acc_024.sos,4,a,2,3,1,1,1,1,1
1state1ap2acc_parity_018.sos,3,a,2,3,1,1,1,1,1
1state2ap0acc_01.sos,3,a b,4,7,1,1,1,1,1
1state2ap0acc_01_c.sos,3,a b,4,7,1,1,1,1,1
1state2ap0acc_03.sos,3,b,2,3,1,1,1,1,1
1state2ap0acc_03_c.sos,3,b,2,3,1,1,1,1,1
1state2ap0acc_06.sos,3,a b,4,6,1,1,1,1,1
1state2ap0acc_06_c.sos,3,a b,4,6,1,1,1,1,1
1state2ap0acc_07.sos,3,a b,4,7,1,1,1,1,2
1state2ap0acc_07_c.sos,3,a b,4,7,1,1,1,1,1
1state2ap1acc_018.sos,4,a b,4,7,1,1,1,1,1
1state2ap1acc_018_c.sos,4,a b,4,7,1,1,1,1,1
1state2ap1acc_022.sos,4,a b,4,8,1,1,1,1,2
1state2ap1acc_022_c.sos,4,a b,4,8,1,1,1,1,2
1state2ap1acc_024.sos,4,a b,4,7,1,1,1,1,2
1state2ap1acc_024_c.sos,4,a b,4,7,1,1,1,1,1
1state2ap1acc_026.sos,4,a b,4,8,1,1,1,1,2
1state2ap1acc_026_c.sos,4,a b,4,8,1,1,1,1,2
1state2ap1acc_030.sos,3,a b,4,5,1,1,1,1,1
1state2ap1acc_052.sos,4,a b,4,10,1,1,1,1,2
1state2ap1acc_052_c.sos,4,a b,4,9,1,1,1,1,2
1state2ap1acc_060.sos,3,b,2,5,1,1,1,1,1
1state2ap1acc_097.sos,4,a b,4,10,1,1,1,1,2
1state2ap1acc_097_c.sos,4,a b,4,9,1,1,1,1,2
1state2ap1acc_105.sos,3,a b,4,6,1,1,1,1,1
1state2ap1acc_120.sos,3,a b,4,7,1,1,1,1,1
1state2ap2acc_00288.sos,5,a b,4,7,1,1,1,1,1
1state2ap2acc_00288_c.sos,5,a b,4,7,1,1,1,1,2
1state2ap2acc_00292.sos,5,a b,4,8,1,1,1,1,2
1state2ap2acc_00292_c.sos,5,a b,4,8,1,1,1,1,2
1state2ap2acc_00300.sos,4,a b,4,7,1,1,1,1,1
1state2ap2acc_00300_c.sos,4,a b,4,7,1,1,1,1,1
1state2ap2acc_00352.sos,5,a b,4,9,1,1,1,1,2
1state2ap2acc_00352_c.sos,5,a b,4,9,1,1,1,1,2
1state2ap2acc_00360.sos,4,a b,4,6,1,1,1,1,1
1state2ap2acc_00360_c.sos,4,a b,4,6,1,1,1,1,1
1state2ap2acc_00384.sos,5,a b,4,7,1,1,1,1,2
1state2ap2acc_00384_c.sos,5,a b,4,7,1,1,1,1,1
1state2ap2acc_00386.sos,5,a b,4,8,1,1,1,1,2
1state2ap2acc_00386_c.sos,5,a b,4,8,1,1,1,1,2
1state2ap2acc_00390.sos,4,a b,4,5,1,1,1,1,1
1state2ap2acc_00390_c.sos,4,a b,4,5,1,1,1,1,1
1state2ap2acc_00416.sos,5,a b,4,10,1,1,1,1,2
1state2ap2acc_00416_c.sos,5,a b,4,9,1,1,1,1,2
1state2ap2acc_00420.sos,4,a b,4,6,1,1,1,1,1
1state2ap2acc_00420_c.sos,4,a b,4,7,1,1,1,1,1
1state2ap2acc_00480.sos,4,a b,4,7,1,1,1,1,2
1state2ap2acc_00480_c.sos,4,a b,4,7,1,1,1,1,2
1state2ap2acc_00960.sos,4,b,2,5,1,1,1,1,1
1state2ap2acc_00960_c.sos,4,b,2,5,1,1,1,1,1
1state2ap2acc_01680.sos,4,a b,4,7,1,1,1,1,2
1state2ap2acc_01680_c.sos,4,a b,4,6,1,1,1,1,1
1state2ap2acc_04672.sos,6,a b,4,12,1,1,1,1,2
1state2ap2acc_04672_c.sos,6,a b,4,16,1,1,1,1,2
